  Value,Text,ChuDe,STT
049522e0-fec2-4d52-916d-dd103ba69627,Công tác dân tộc,a6ee2d1a-2edc-4c30-bff5-81efbd765464,1
06936689-e896-45ee-9486-99b9370f31bc,Đất đai,b64f0e6a-3020-4c4a-be45-a1e5370a0939,1
0cf69ad9-6f29-4ee4-8e16-2c3aa65c3a52,An toàn thực phẩm,607817d9-0840-4986-b41f-5f3e9ae650c2,1
0d5b64ca-267f-4cb9-9400-63448387b0d6,"Cấp bản sao từ sổ gốc, chứng thực bản sao từ bản chính, chứng thực chữ ký",a5b5fa2d-056c-48c4-b6fc-c782359511ff,1
12f7dcb6-5ab4-4b7e-a248-2a5e09c113f5,Đo đạc và bản đồ,c054141c-d30c-4e83-9f35-2fb1c61c6e7c,1
13bbc44f-b9ad-49f2-b66b-65da10d2dd34,Thống kê,ee961e69-7a8d-4405-8fe6-ecdf7e44323f,1
18250665-85b4-4ab9-b862-4eb8afbde3fa,Dự trữ quốc gia,1afcaf4b-85cb-4039-8627-3a8a101a7e5b,1
23e1929c-6151-4f15-9d67-11d4f7964dc8,Trẻ em,efbefb52-bf45-41df-aaf4-6a4e833f333e,1
295ceaf7-684c-42a9-9f57-c60ff5581bcc,Kiến trúc,11a7e159-46bf-48bf-93ec-4e415f84c678,1
319387a3-090a-47a5-82f6-a9bacbe5d341,Doanh nghiệp,8e485a16-50aa-4c80-9fbe-3b286287f8c1,1
3284cd8d-f598-48ea-b425-53e118893530,Bảo vệ quyền lợi người tiêu dùng,717625a2-281b-4307-b21b-68b1c73d2207,1
3285256c-25e1-4621-afdc-647fbdd766ea,Bầu cử đại biểu Quốc hội và đại biểu Hội đồng nhân dân,3fc1ee9d-eec6-4839-9c98-7ac2ca9e0792,1
3a8413a9-7763-4a9b-93f8-dd5f18ba1594,Chính sách trợ giúp xã hội đối với đối tượng bảo trợ xã hội,e4b6a170-8415-42a5-9ee2-f8eb147f5d15,1
4062b86e-ef5c-4ea4-af09-45d8b23978d2,Đặc xá,88a4972a-48c2-4def-926b-a71b9f6e4be7,1
467d54d1-b81e-49a0-a066-21e2c9b191fc,"Thi đua, khen thưởng",c7ee2251-ddf9-4c7a-88f8-a9568fad0247,1
47316aca-6f15-49c8-b604-5a6c87351849,"Chất lượng sản phẩm, hàng hóa",3f0ce861-9980-43c9-9dcc-8e064c536bee,1
4b6f90cb-015c-4cdd-9c87-b8ecc0470fdb,"Tín ngưỡng, tôn giáo",48d084d9-d3f1-4c13-a898-dde6840fe0ff,1
55323c64-e78f-4537-afcd-6a3c2af3c71d,An ninh quốc gia,c3b69131-2931-4f67-926e-b244e18e8081,1
59750dbc-0ac3-4d75-928e-18983dc7ecf6,Công tác văn thư,1c1f149f-f1bf-4ddb-9f6b-b2adbf17d410,1
66c59035-9acd-430a-affd-86563bc7ce77,An toàn thông tin mạng,c124612e-a23f-4199-8747-55fe4e8a8c89,1
673fcdfe-cda8-43aa-b3b9-f3e1e4710027,Khiếu nại,ff58c8ec-ab1b-4fdd-b732-5f09f9fa09cd,1
78cd97a5-7ff4-48b4-affc-42cd96aeec18,Báo chí,73b6a37d-b55b-443d-b0fd-8f7d1b215ca1,1
87ca311f-a832-430e-993a-ffef40ef4043,Ban hành văn bản quy phạm pháp luật,ec61c177-8f68-4a69-a42b-2257d599d907,1
93c2e70c-57d6-4c12-8911-b345dcb69597,Bảo hiểm tiền gửi,0f8741e9-b3d2-488b-aa70-961ccc802227,1
9692aa2c-e220-4b39-9385-c1b837149556,Bảo vệ và kiểm dịch thực vật,81215563-6346-448e-bded-2933f86276bb,1
985838c2-d5e2-423d-9253-7f95ea82af57,Giáo dục nghề nghiệp,ed53d710-e3ae-4741-abc7-0f5dd82dec24,1
b444d15f-0b38-474b-bf13-5188e9a517bb,Bảo vệ công trình quốc phòng và khu quân sự,859b54fa-0c05-4807-a50c-c8be82fcae62,1
bac21193-4c90-4e8c-a274-ffce8648c505,Đường sắt,b82ee309-2527-4a7d-8d4d-fccdfabbc86c,1
bcc2a59a-ccbe-4739-afd4-f45811a15122,Hình sự,0672ce80-caa2-4d12-a474-6d86349c9dab,1
c20ba1de-f6cb-4b91-9d2c-05eabd8e0c2e,Bảo vệ môi trường,1657cd3c-c513-4df5-ae6b-e39a778c640d,1
c281cd7b-893d-4490-b9da-b226d670363c,Cơ quan đại diện nước Cộng hòa Xã hội Chủ nghĩa Việt Nam ở nước ngoài,6db952fa-b9dd-41f7-adf5-ccb22100ac9c,1
c8ba5bc7-224a-4f31-8d92-567613f68ca9,Bảo hiểm xã hội,5576c952-dabe-4363-b94a-13419996ff4b,1
cd978e77-1991-4698-a663-ad2013c7a9f1,Giáo dục,0fb2411e-095b-4095-bbbe-fb8465ec4199,1
e7b9346d-dea5-49c5-a166-bd41599dd9e7,Đấu giá tài sản,e967223c-d26a-4c7f-a8d9-420843bd5bf9,1
e8e1515c-249d-4a9b-af30-ac0d8a3aac7d,Tương trợ tư pháp,01684735-cbae-4b6f-9471-1010ab2f350a,1
e982aa33-8e27-4d94-99e9-b513b6993c6d,Giá,7a9dcc15-370d-40b4-a02b-28e583b25dbf,1
e5ca7d0c-8da3-49f6-b631-e061b904c687,"Án phí, lệ phí Tòa án (loại bỏ)",09ca05d1-7f1d-4887-a65d-a210374d1969,1
e6c9c518-5eb6-4bee-a980-e144e80fc213,"Cán bộ, công chức",cb5c6841-2c38-48ca-b946-da24c8d8a099,1
eb0e4753-243e-4344-90e6-70aaf5188a6d,Dân sự,8545ecbc-f0ce-44aa-83d6-c43d056f63f2,1
ed278a00-f167-476a-8719-bffc8cb3a4c8,Hoạt động nghệ thuật biểu diễn,487180ab-07c0-45c1-9e73-1ab76b2a55c9,1
eeffe922-dc02-4aef-89a3-3f26e19a2e62,Chứng minh nhân dân,965fd0b7-e8b0-434a-83c2-9f9b2b4fbcba,1
f5a43ce4-3b6e-4fc6-8c1e-eb7222d51d27,Kế toán,9daf2b7f-cf24-4c97-adf8-0903f6b7f18e,1
f7d0fe22-a98a-4ae1-922a-d88a7970be32,Cơ chế hỗ trợ phát triển các dự án điện gió tại Việt Nam (loại bỏ),3a225bc6-c8c9-459e-967e-9876d4eb2c33,1
fc3ab628-e974-4615-9209-270bd558b40e,Công đoàn,ce9b9ff4-87dd-44d1-add8-27c1ec82d856,1
fe2f89c2-15c9-4a77-bdf8-f4898d545be7,Hòa giải ở cơ sở,cef09501-9f71-4c9a-aa35-238ea8c79f76,1
f601c67b-6eec-4cc8-9f5a-848dcd4e2329,Quản lý nợ công,1afcaf4b-85cb-4039-8627-3a8a101a7e5b,2
f4428e88-cf73-4d8f-920d-ae402512fe94,Người cao tuổi,e4b6a170-8415-42a5-9ee2-f8eb147f5d15,2
e78855bc-bfb3-4c1f-8582-168945065e04,Bảo vệ sức khỏe nhân dân,607817d9-0840-4986-b41f-5f3e9ae650c2,2
e51fdb4d-9c73-44bc-9fae-10c4cde48953,Công an xã,965fd0b7-e8b0-434a-83c2-9f9b2b4fbcba,2
